

Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.390
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN
?               | 7171|BAG POLYETHYLENE RECLOSABLE ZIP-LOCK 2"X3"                      |BAG-ZIP-2X3     |   $0.03|EACH    |2398
?               | 7172|BAG POLYETHYLENE RECLOSABLE ZIP-LOCK 3"X4"                      |BAPZ3"X4"       |   $0.05|EACH    |1499
KTEB-1C3032-1-TP|14149|BALLAST FLUORESCENT CIRCLINE RAPID START 120V                   |BALLAST-CIRCLI  |  $25.44|EACH    |   0
?               | 9099|BANDAGE PLASTIC 3/4" X 3" 40-PACK                        (OS)   |BANDAID 3/4"    |   $3.95|EACH    |   3
BA60            |13315|BARREL NUT ASSEMBLY FOR WELLER TC201 (WTCPT) SOLDERING IRON     |BA60            |   $8.68|EACH    |   0
10717           |13235|BASEPLATE FOR HINGE SNAP-ON STRAIGHT BASEPLATE 1.3MM            |BASEPLATE-HING  |   $3.00|EACH    |   0
E90             | 7241|BATTERY ALKALINE 1.5V 'N' E90 LR1 MN9100                        |BAT-'N'         |   $1.95|EACH    |  21
E96BP           |11396|BATTERY ALKALINE 1.5V AAAA                        (OS) CHEMICAL |AAAA            |   $1.95|EACH    |   9
PC1400          |13850|BATTERY ALKALINE 1.5V C SIZE 12/PK                  (OS) CHEMICA|BAT-C-12PK      |   $9.95|EACH    |   8
PC1300          |12832|BATTERY ALKALINE 1.5V D CELL 12/PK                  (OS)        |BAT-D-12PK      |  $12.95|EACH    |   8
AL-D            |13475|BATTERY ALKALINE 1.5V D CELL 6/PK                   (OS) CHEMICA|BAT-D-6PK       |   $5.95|EACH    |   0
A23             | 9491|BATTERY ALKALINE 12V 55MAH SPECIAL APP MN21B (23A,A23) (OS)     |A23             |   $1.95|EACH    |  11
?               | 7240|BATTERY ALKALINE 9V                                 (OS) CHEMICA|9VBAT           |   $1.75|EACH    |  20
PC1604BKD       |13958|BATTERY ALKALINE 9V 12/PK                           (OS) CHEMICA|BAT-9V-12PK     |  $17.95|EACH    |  16
?               |12785|BATTERY ALKALINE 9V 6/PK                            (OS) CHEMICA|BAT-9V-6PK      |   $8.95|EACH    |   0
PC1500TC24      |12773|BATTERY ALKALINE AA 1.5V DURACELL PROCELL 24/PK     (OS) CHEMICA|BAT-AA-24PK     |   $9.95|EACH    |  57
PC1500          |10724|BATTERY ALKALINE AA 1.5V DURACELL PROCELL 4-PACK (OS) CHEMICAL  |BATAA-4PACK     |   $1.95|EACH    |  33
E91             |10334|BATTERY ALKALINE AA 1.5V ENERGIZER E91              (OS) CHEMICA|BATAA           |   $0.50|EACH    |   4
?               | 7239|BATTERY ALKALINE AAA 1.5V                           (OS) CHEMICA|AAA             |   $0.50|EACH    |   5
PC2400          |10725|BATTERY ALKALINE AAA 1.5V 4-PACK DURACELL PROCELL   (OS) CHEMICA|BATAAA-4PACK    |   $1.95|EACH    |  46
PC2400TC24      |12772|BATTERY ALKALINE AAA 1.5V DURACELL PROCELL 24/PK    (OS) CHEMICA|BAT-AAA-24PK    |   $9.95|EACH    |  53
?               | 7235|BATTERY ALKALINE C  1.5V                            (OS) CHEMICA|BAT-1.5V-C      |   $1.00|EACH    |  19


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.425
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

?               |12786|BATTERY ALKALINE C 1.5V 6/PK                        (OS) CHEMICA|BAT-C-6PK       |   $4.50|EACH    |   0
?               | 7234|BATTERY ALKALINE D CELL 1.5V                        (OS) CHEMICA|BAT-D           |   $1.25|EACH    |   5
PC915           |14272|BATTERY ALKALINE LANTERN STYLE 6V 20000MAH                      |LANTERN-BATTER  |   $9.95|EACH    |   0
